Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Rest of State,Total,Rest of State,Oberon,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Other,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Townhouse,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Flat/Unit,Total,-,-,-,-,92,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Flat/Unit,2 Bedrooms,-,-,-,-,56,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Total,Total,340,420,500,381,"4,618",5.00%,20.00%,-15.89%,-16.63%
Rest of State,Total,Rest of State,Orange,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Total,1 Bedroom,230,280,300,37,400,12.00%,16.67%,-31.48%,-32.73%
Rest of State,Total,Rest of State,Orange,Total,Not Specified,-,-,-,-,111,-,-,-,-
Rest of State,Total,Rest of State,Orange,Total,2 Bedrooms,290,340,370,83,"1,085",0.00%,13.33%,-10.75%,-22.43%
Rest of State,Total,Rest of State,Orange,Total,3 Bedrooms,381,433,480,162,"2,010",5.49%,16.89%,-20.98%,-10.00%
Rest of State,Total,Rest of State,Orange,Total,4 or more Bedrooms,465,540,600,95,989,3.85%,20.00%,0.00%,-12.04%
Rest of State,Total,Rest of State,Orange,House,Total,380,450,520,294,"3,211",7.14%,18.42%,-11.71%,-14.78%
Rest of State,Total,Rest of State,Orange,House,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Orange,House,1 Bedroom,233,260,295,s,60,14.29%,13.04%,10.00%,-21.43%
Rest of State,Total,Rest of State,Orange,House,Not Specified,-,-,-,-,40,-,-,-,-
Rest of State,Total,Rest of State,Orange,House,2 Bedrooms,295,350,405,43,370,-5.41%,15.70%,16.22%,-30.65%
Rest of State,Total,Rest of State,Orange,House,3 Bedrooms,390,440,480,148,"1,782",7.32%,18.92%,-22.92%,-6.33%
Rest of State,Total,Rest of State,Orange,House,4 or more Bedrooms,470,545,600,90,957,4.81%,21.11%,-3.23%,-15.89%
Rest of State,Total,Rest of State,Orange,Other,Total,285,345,415,s,217,21.05%,3.76%,91.67%,64.29%
Rest of State,Total,Rest of State,Orange,Other,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Other,Not Specified,-,-,-,-,48,-,-,-,-
Rest of State,Total,Rest of State,Orange,Other,2 Bedrooms,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Orange,Other,3 Bedrooms,-,-,-,-,49,-,-,-,-
Rest of State,Total,Rest of State,Orange,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Townhouse,Total,-,-,-,-,135,-,-,-,-
Rest of State,Total,Rest of State,Orange,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Townhouse,2 Bedrooms,-,-,-,-,60,-,-,-,-
Rest of State,Total,Rest of State,Orange,Townhouse,3 Bedrooms,-,-,-,-,55,-,-,-,-
Rest of State,Total,Rest of State,Orange,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Orange,Flat/Unit,Total,278,300,350,59,"1,055",0.00%,11.11%,-35.87%,-32.95%
Rest of State,Total,Rest of State,Orange,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Orange,Flat/Unit,1 Bedroom,225,290,305,s,297,4.50%,13.73%,-47.37%,-45.95%
Rest of State,Total,Rest of State,Orange,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Orange,Flat/Unit,2 Bedrooms,280,300,350,33,602,-6.25%,4.35%,-26.67%,-17.50%
Rest of State,Total,Rest of State,Orange,Flat/Unit,3 Bedrooms,-,-,-,-,124,-,-,-,-
Rest of State,Total,Rest of State,Orange,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Total,Total,235,315,383,107,"1,079",-1.56%,8.62%,-0.93%,-6.14%
Rest of State,Total,Rest of State,Parkes,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Total,1 Bedroom,-,-,-,-,57,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Total,Not Specified,-,-,-,-,85,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Total,2 Bedrooms,200,235,280,s,280,-3.09%,2.17%,-7.14%,-16.13%
Rest of State,Total,Rest of State,Parkes,Total,3 Bedrooms,295,320,373,44,454,-3.03%,8.47%,-4.35%,-12.00%
Rest of State,Total,Rest of State,Parkes,Total,4 or more Bedrooms,380,400,450,s,191,0.00%,5.26%,8.00%,-6.90%
Rest of State,Total,Rest of State,Parkes,House,Total,300,360,400,77,712,5.88%,20.00%,-1.28%,-7.23%
Rest of State,Total,Rest of State,Parkes,House,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Parkes,House,Not Specified,-,-,-,-,34,-,-,-,-
Rest of State,Total,Rest of State,Parkes,House,2 Bedrooms,-,-,-,-,81,-,-,-,-
Rest of State,Total,Rest of State,Parkes,House,3 Bedrooms,280,320,380,41,396,-3.03%,8.47%,5.13%,-12.77%
Rest of State,Total,Rest of State,Parkes,House,4 or more Bedrooms,380,400,450,s,188,0.00%,5.26%,8.00%,-6.90%
Rest of State,Total,Rest of State,Parkes,Other,Total,-,-,-,-,64,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Other,Not Specified,-,-,-,-,35,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Townhouse,Total,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Flat/Unit,Total,180,200,260,s,276,0.00%,-9.09%,20.83%,3.57%
Rest of State,Total,Rest of State,Parkes,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Flat/Unit,1 Bedroom,-,-,-,-,40,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Parkes,Flat/Unit,2 Bedrooms,195,220,260,s,187,2.33%,0.00%,46.15%,-13.64%
Rest of State,Total,Rest of State,Parkes,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,Total,388,450,530,633,"7,528",0.00%,15.38%,-1.25%,-14.23%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,1 Bedroom,235,300,350,44,544,0.00%,25.00%,-22.81%,-25.42%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,Not Specified,-,-,-,-,239,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,2 Bedrooms,360,395,440,225,"2,605",3.95%,19.70%,10.84%,-16.04%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,3 Bedrooms,450,480,520,241,"2,910",2.13%,14.29%,-5.49%,-18.03%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Total,4 or more Bedrooms,540,600,680,118,"1,208",3.45%,20.00%,1.72%,3.51%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,House,Total,450,510,600,316,"3,565",4.08%,18.60%,-2.47%,-11.73%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,House,1 Bedroom,-,-,-,-,64,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,House,Not Specified,-,-,-,-,58,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,House,2 Bedrooms,370,420,440,35,398,5.00%,20.00%,0.00%,-12.50%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,House,3 Bedrooms,450,483,530,164,"1,936",0.52%,14.88%,-1.80%,-18.41%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,House,4 or more Bedrooms,558,625,693,108,"1,109",7.76%,25.00%,0.00%,3.85%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,Total,345,420,480,54,760,2.44%,15.07%,12.50%,-1.82%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,1 Bedroom,-,-,-,-,69,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,Not Specified,-,-,-,-,127,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,2 Bedrooms,378,413,458,s,254,8.55%,16.20%,5.26%,-23.08%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,3 Bedrooms,450,465,500,s,254,2.20%,16.25%,-5.56%,-19.05%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Other,4 or more Bedrooms,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,Total,410,450,488,70,766,2.27%,18.42%,1.45%,-5.41%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,2 Bedrooms,380,410,440,s,308,1.23%,17.14%,61.11%,-9.37%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,3 Bedrooms,450,470,520,38,407,4.44%,11.90%,-9.52%,5.56%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Townhouse,4 or more Bedrooms,-,-,-,-,32,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,Total,350,380,440,193,"2,437",5.56%,18.75%,-3.50%,-23.11%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,1 Bedroom,245,315,350,s,398,3.28%,26.76%,-32.43%,-37.50%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,Not Specified,-,-,-,-,49,-,-,-,-
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,2 Bedrooms,350,380,425,141,"1,645",5.56%,18.75%,7.63%,-17.06%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,3 Bedrooms,423,473,545,s,313,1.07%,18.12%,-21.43%,-38.89%
Rest of State,Total,Rest of State,Port Macquarie-Hastings,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,Total,340,450,570,386,"4,803",7.14%,11.11%,-16.63%,-0.52%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,1 Bedroom,250,280,330,65,904,3.70%,12.00%,-21.69%,-10.96%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,Not Specified,-,-,-,-,123,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,2 Bedrooms,340,370,450,137,"1,812",-1.33%,5.71%,-23.89%,-1.44%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,3 Bedrooms,490,550,580,109,"1,271",5.77%,12.24%,-2.68%,3.81%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Total,4 or more Bedrooms,650,700,750,70,664,-4.11%,7.69%,-13.58%,4.48%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,Total,500,580,700,161,"1,586",2.65%,3.57%,-12.97%,11.81%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,1 Bedroom,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,2 Bedrooms,380,450,470,s,212,7.14%,21.62%,-50.00%,8.33%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,3 Bedrooms,500,550,585,73,716,2.80%,14.58%,1.39%,19.67%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,House,4 or more Bedrooms,650,705,756,68,582,-3.42%,8.46%,-12.82%,3.03%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,Total,-,-,-,-,667,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,1 Bedroom,-,-,-,-,151,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,Not Specified,-,-,-,-,81,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,2 Bedrooms,-,-,-,-,230,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,3 Bedrooms,-,-,-,-,136,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Other,4 or more Bedrooms,-,-,-,-,59,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,Total,415,460,535,72,850,2.22%,6.98%,-22.58%,-6.49%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,2 Bedrooms,400,450,473,39,448,9.76%,9.76%,-29.09%,-7.14%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,3 Bedrooms,465,550,575,s,353,5.77%,14.58%,-15.62%,-12.90%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,Total,278,333,360,144,"1,700",10.83%,10.83%,-18.64%,-6.49%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,1 Bedroom,248,263,313,52,672,-2.78%,5.00%,-26.76%,-17.46%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,2 Bedrooms,328,350,378,83,922,2.94%,9.38%,-14.43%,5.06%
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,3 Bedrooms,-,-,-,-,66,-,-,-,-
Rest of State,Total,Rest of State,Queanbeyan-Palerang Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Total,Total,310,375,450,136,"1,886",4.17%,11.11%,10.57%,-19.05%
Rest of State,Total,Rest of State,Richmond Valley,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Total,1 Bedroom,-,-,-,-,124,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Total,Not Specified,-,-,-,-,127,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Total,2 Bedrooms,280,325,360,42,578,12.07%,20.37%,35.48%,-14.29%
Rest of State,Total,Rest of State,Richmond Valley,Total,3 Bedrooms,350,380,463,63,795,0.00%,10.14%,6.78%,-16.00%
Rest of State,Total,Rest of State,Richmond Valley,Total,4 or more Bedrooms,420,480,525,s,259,15.66%,17.07%,5.00%,-8.70%
Rest of State,Total,Rest of State,Richmond Valley,House,Total,350,400,465,76,"1,024",5.26%,14.29%,10.14%,-16.48%
Rest of State,Total,Rest of State,Richmond Valley,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,House,Not Specified,-,-,-,-,43,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,House,2 Bedrooms,295,350,368,s,128,27.27%,16.67%,450.00%,22.22%
Rest of State,Total,Rest of State,Richmond Valley,House,3 Bedrooms,350,380,436,42,596,2.70%,11.76%,-6.67%,-22.22%
Rest of State,Total,Rest of State,Richmond Valley,House,4 or more Bedrooms,420,480,525,s,246,15.66%,17.07%,5.00%,-8.70%
Rest of State,Total,Rest of State,Richmond Valley,Other,Total,-,-,-,-,168,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Other,Not Specified,-,-,-,-,62,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Other,2 Bedrooms,-,-,-,-,44,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Other,3 Bedrooms,-,-,-,-,35,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Townhouse,Total,371,433,481,s,91,17.69%,36.22%,50.00%,20.00%
Rest of State,Total,Rest of State,Richmond Valley,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Townhouse,2 Bedrooms,-,-,-,-,35,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Townhouse,3 Bedrooms,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,Total,253,300,358,42,603,7.14%,0.00%,0.00%,-28.81%
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,1 Bedroom,-,-,-,-,95,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,2 Bedrooms,280,280,350,s,371,1.82%,3.70%,4.17%,-19.35%
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,3 Bedrooms,-,-,-,-,111,-,-,-,-
Rest of State,Total,Rest of State,Richmond Valley,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Total,Total,370,440,510,638,"7,903",2.33%,15.79%,6.16%,-16.71%
Rest of State,Total,Rest of State,Shoalhaven,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Total,1 Bedroom,250,275,320,35,387,-2.65%,10.00%,16.67%,-10.26%
Rest of State,Total,Rest of State,Shoalhaven,Total,Not Specified,-,-,-,-,515,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Total,2 Bedrooms,320,350,390,149,"1,822",0.00%,9.38%,0.00%,-18.13%
Rest of State,Total,Rest of State,Shoalhaven,Total,3 Bedrooms,410,450,490,266,"3,440",4.65%,16.88%,-2.92%,-28.11%
Rest of State,Total,Rest of State,Shoalhaven,Total,4 or more Bedrooms,500,540,600,178,"1,715",1.89%,12.50%,31.85%,5.33%
Rest of State,Total,Rest of State,Shoalhaven,House,Total,400,460,540,481,"5,582",2.22%,17.95%,13.44%,-18.34%
Rest of State,Total,Rest of State,Shoalhaven,House,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,House,1 Bedroom,-,-,-,-,82,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,House,Not Specified,-,-,-,-,158,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,House,2 Bedrooms,330,355,398,75,844,1.43%,7.58%,25.00%,-27.18%
Rest of State,Total,Rest of State,Shoalhaven,House,3 Bedrooms,410,450,490,227,"2,832",4.65%,18.42%,3.65%,-26.77%
Rest of State,Total,Rest of State,Shoalhaven,House,4 or more Bedrooms,500,540,600,172,"1,654",1.89%,12.50%,31.30%,4.24%
Rest of State,Total,Rest of State,Shoalhaven,Other,Total,-,-,-,-,487,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Other,1 Bedroom,-,-,-,-,33,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Other,Not Specified,-,-,-,-,272,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Other,2 Bedrooms,-,-,-,-,55,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Other,3 Bedrooms,-,-,-,-,97,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,Total,350,400,448,42,558,-4.76%,8.11%,-14.29%,-39.13%
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,2 Bedrooms,320,345,360,s,201,-6.76%,6.15%,12.50%,-14.29%
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,3 Bedrooms,400,420,483,s,307,-4.55%,7.69%,-38.71%,-55.81%
Rest of State,Total,Rest of State,Shoalhaven,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,Total,275,330,380,108,"1,276",-2.94%,10.00%,1.89%,11.34%
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,1 Bedroom,250,260,295,31,260,-7.96%,4.00%,121.43%,14.81%
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,Not Specified,-,-,-,-,75,-,-,-,-
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,2 Bedrooms,308,338,370,56,722,0.75%,12.50%,-20.00%,5.66%
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,3 Bedrooms,395,450,470,s,204,9.09%,23.29%,5.56%,26.67%
Rest of State,Total,Rest of State,Shoalhaven,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Singleton,Total,Total,350,420,470,133,"1,552",5.00%,7.69%,-6.34%,-22.67%
Rest of State,Total,Rest of State,Singleton,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Singleton,Total,1 Bedroom,-,-,-,-,71,-,-,-,-
Rest of State,Total,Rest of State,Singleton,Total,Not Specified,-,-,-,-,73,-,-,-,-
Rest of State,Total,Rest of State,Singleton,Total,2 Bedrooms,280,300,353,s,350,-9.09%,0.00%,-33.33%,-22.22%
Rest of State,Total,Rest of State,Singleton,Total,3 Bedrooms,380,420,450,66,692,3.07%,9.80%,26.92%,-15.38%
Rest of State,Total,Rest of State,Singleton,Total,4 or more Bedrooms,473,500,585,31,362,0.00%,6.38%,-8.82%,-34.04%
Rest of State,Total,Rest of State,Singleton,House,Total,400,440,500,80,928,2.33%,7.32%,-3.61%,-23.81%
Rest of State,Total,Rest of State,Singleton,House,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Singleton,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Singleton,House,Not Specified,-,-,-,-,41,-,-,-,-
Rest of State,Total,Rest of State,Singleton,House,2 Bedrooms,-,-,-,-,80,-,-,-,-
Rest of State,Total,Rest of State,Singleton,House,3 Bedrooms,374,420,450,44,450,0.00%,8.39%,18.92%,-4.35%
Rest of State,Total,Rest of State,Singleton,House,4 or more Bedrooms,473,500,585,31,350,0.00%,6.38%,-8.82%,-34.04%
